"类型","稀有度","id","名字","标签","皮肤","价格","持续关数","描述"
"Tee 卡","rare","hanxing","寒星","","IceWitch_Dark","2","","投掷出 1 颗 1 点：获得 42 分；每多 1 颗 1 点，得分 ×3"
"Tee 卡","rare","houyi","射日仙","仙","Yellow","2","","再接再厉时自动重掷全部（每回合 1 次），得分 ×2"
"Tee 卡","rare","kongmingdeng","孔明灯","灯","FalFy_glow","2","","队伍每多 1 人：得分 ×1.2"
"Tee 卡","rare","kuaiyu","快雨","","mermydon_glow","2","","本回合每重掷 1 颗骰子：得分 ×1.25"
"Tee 卡","rare","lianzhudeng","连珠灯","灯","glow_coala_cammo","2","","连号 3 颗（如 123）算一秀、4 颗算二举、5 颗算四进；连号里每颗骰子：得分 +45；掷出对堂（连号 6 颗）：得分 +150、×3"
"Tee 卡","rare","liuhe","六合仙踪","仙","coala_phoenix","2","","投掷出 1 颗 6 点：获得 42 分；每多 1 颗 6 点，得分 ×3"
"Tee 卡","rare","mantanghong","满堂红","","Red","2","","自己每有 1 颗 4 点：得分 +45"
"Tee 卡","rare","meiyue","柳眉","","green_stripe","2","","「我」掷出的 2 点视为 4 点；本关「我」骰子里有几颗 2，得分就 ×（颗数 + 1）"
"Tee 卡","rare","qiansixi","牵丝戏","","IceWitch_Clown","2","","全队总分 ×1.15"
"Tee 卡","rare","qixingdeng","七星灯","灯","glow_contrastfox","2","","连号里每颗骰子：得分 +70；掷出对堂（连号 6 颗）：得分 ×2.5"
"Tee 卡","rare","queyue","缺月","月","darkforce","2","","得分 = 170 + 每关 +50 − 掷骰分 ×1.5；掷完后把 1 颗骰子改为 1 点"
"Tee 卡","rare","sanqiu","灯下三秋","灯","glow_turtle","2","","投掷出 1 颗 3 点：获得 45 分；每多 1 颗 3 点，得分 ×3"
"Tee 卡","rare","sansheng","桂下三生","桂","amor_green","2","","自己每有 1 颗 3 点：得分 +60"
"Tee 卡","rare","sanxingzhao","三星照","","sunwateregg","2","","「我」掷出的 3 点视为 4 点；本关「我」骰子里有几颗 3，得分就 ×（颗数 + 1）"
"Tee 卡","rare","shangxian","上弦","","IceWitch_DeerSakura","2","","「我」掷出的 5 点视为 4 点；本关「我」骰子里有几颗 5，得分就 ×（颗数 + 1）"
"Tee 卡","rare","shuangli","双鲤衔饼","饼","Aqua Fish_KZ","2","","投掷出 1 颗 2 点：获得 44 分；每多 1 颗 2 点，得分 ×3"
"Tee 卡","rare","sixi","四喜饼","饼","SweetVertigo","2","","自己每有 1 颗 4 点：得分 ×1.25"
"Tee 卡","rare","tianluo","田螺","","Frog","2","","四进及以上：得分 ×2.2"
"Tee 卡","rare","wangyuehuaiyuan","望月怀远","月","lunalovegood","2","","「我」掷出""三红""及以上时，该 Tee 得分 ×4.5"
"Tee 卡","rare","wugeng","五更桂花","桂","Greeny","2","","投掷出 1 颗 5 点：获得 44 分；每多 1 颗 5 点，得分 ×3"
"Tee 卡","rare","xianlv","仙侣","仙","cammostripeangel","2","","每拥有一个独特的「仙」系角色：该 Tee 得分 ×1.6（叠乘）；每有 1 颗四点，得分 +1"
"Tee 卡","rare","xiaoshangfan","小商贩","","cardboard_box","2","","每关 +3 月饼币"
"Tee 卡","rare","yeshi","夜市饼香","饼","Lan_Pudding","2","","每卖出 1 个 Tee：得分 ×1.25（每回合最多计 2 个）"
"Tee 卡","rare","yinhe","星河","","astronaut","2","","状元及以上：得分 ×3"
"Tee 卡","rare","yinyuanbu","姻缘簿","","Dark Angel","2","","复制右侧 Tee 的卡牌，并额外 ×1.5"
"Tee 卡","rare","yuebingfang","饼坊","饼","buni","2","","每拥有一个独特的「饼」系角色：该 Tee 得分 ×1.7（叠乘）；每有 1 颗四点，得分 +1"
"Tee 卡","rare","yuebingwang","饼王","饼","cookie_bite","2","","得分 ×2"
"Tee 卡","rare","yuechao","潮汐","","Riptide","2","","骰子点数和 ×4 计入得分；和值超过 10 后每点：得分 ×1.12"
"Tee 卡","rare","yuelun","月轮","月","cloud","2","","每拥有一个独特的「月」系角色：该 Tee 得分 ×1.2（叠乘）；每有 1 颗四点，得分 +1"
"Tee 卡","rare","yueya","银钩","","stargirl","2","","对堂及以上：得分 +700"
"Tee 卡","rare","yuhuachi","玉兔车","兔","rabbit_new1","2","","每持有 5 月饼币，每关 +1 月饼币"
"Tee 卡","rare","yunhai","云海","","cloudly","2","","二举及以上：得分 ×2.4"
"Tee 卡","rare","yupan","月华盘","月","cloud_ball","2","","全队总分 ×1.25"
"Tee 卡","rare","yutou","芋泥饼","饼","cupcake","2","","再接再厉：得分 +220"
"Tee 卡","rare","yutuhui","兔儿满堂","兔","BunnyViVi","2","","每拥有一个独特的「兔」系角色：该 Tee 得分 ×1.8（叠乘）；每有 1 颗四点，得分 +1"
"Tee 卡","rare","yutuyao","玉兔捣药","兔","rabbit_new2","2","","判定等级 +1 档，但得分 ×0.8"
"Tee 卡","rare","yutuzuqun","玉兔族群","兔","whitebunny","2","","每拥有一个独特的「兔」系角色，该 Tee 得分 +75"
"Tee 卡","common","chahu","茶壶","","Tea","1","","二举及以上：得分 ×1.75"
"Tee 卡","common","denglong","高照","","red_flame","1","","三红及以上：得分 +150"
"Tee 卡","common","dengmi","猜谜","","glow_default","1","","二举及以上：得分 +65"
"Tee 卡","common","dengshi","灯市","灯","glow_musictee","1","","每拥有一个独特的「灯」系角色，得分 +20"
"Tee 卡","common","dianjiang","点将","","glow_brownbear","1","","自己每有 1 颗 6 点：得分 +30"
"Tee 卡","common","duiying","对影","","Shadowtee","1","","自己每有 1 颗 2 点：得分 +35"
"Tee 卡","common","guazi","金瓜子","","Watermelon","1","","每关 +1 月饼币"
"Tee 卡","common","guiying","桂影","桂","Green","1","","回合结算时：右邻本关得分的 30% + 60 分加进全队分，自己 ×1.3"
"Tee 卡","common","guyue","孤影","","White","1","","自己每有 1 颗 1 点：得分 +28"
"Tee 卡","common","huadeng","喜钱","","cutee_glow","1","","一秀及以上：得分 +50"
"Tee 卡","common","huasheng","花生","","burnttoast_kiinmn","1","","对堂及以上：得分 +330"
"Tee 卡","common","kongsi","空四","","Black Hole","1","","自己掷出的 4 点作废；得分 +150"
"Tee 卡","common","kuiyue","亏月","月","Whitetee Small","1","","得分 = 100 + 每关 +5 − 本次掷骰分"
"Tee 卡","common","lingjiao","菱角","","jellyfish","1","","队伍人数 ×12 分"
"Tee 卡","common","mizao","蜜枣","","BerryCat","1","","四进及以上：得分 +100"
"Tee 卡","common","pengyue","承露","","Puffball","1","","该 Tee 身上每张加成卡，得分 +25"
"Tee 卡","common","shiyue","拾遗","","small_star","1","","「我」最终骰子里每个 4，该 Tee 得分 +40"
"Tee 卡","common","tidengyinlu","引路","","glow_clafairy","1","","右侧 Tee 得分 +45，自身 +18"
"Tee 卡","common","tuerdeng","兔儿爷","兔","bunny","1","","三红及以上：得分 ×1.8"
"Tee 卡","common","wangshu","望舒","","Littlewhite","1","","「我」掷出的 6 点视为 4 点"
"Tee 卡","common","xiaoyue","破晓","","Irradiated Sunny","1","","「我」掷出的 1 点视为 4 点"
"Tee 卡","common","youzi","柚子","","CuteApple","1","","全队 Tee 得分 +8"
"Tee 卡","common","yuelao","红绳","","dark_chao","1","","复制右侧 Tee 的卡牌"
"Tee 卡","common","zhaixing","摘星","","glow_mermyfox","1","","自己每有 1 颗 6 点：得分 +65；每有 1 颗 1 点：得分 −10"
"Tee 卡","common","zhideng","串珠","","generic_glow","1","","连号里每颗骰子：得分 +15"
"加成卡","legendary","baiyuetuan","百月团","","Bubble_gum","8","1","得分 +180"
"加成卡","legendary","changongbiyou","蟾宫庇佑","","clefairy","9","1","最低按""对堂""结算"
"加成卡","legendary","chanjuanfu","婵娟符","","IceWitch_FairyDeer","7","2","自己的 1 视为 4 点"
"加成卡","legendary","fantianyin","翻天印","","dragon","9","2","自己每有 1 颗 4 点：得分 +200；每有 1 颗 2 点：得分 −80"
"加成卡","legendary","guanghanniange","广寒仙酿","","IceWitch_QueenCat","14","3","可多投掷 1 次"
"加成卡","legendary","jiangxin","匠心神笔","","hero_chao","14","2","改 1 颗骰子为任意点数"
"加成卡","legendary","jingui","金桂流心","","OnyxNanami_Yellow","8","2","得分 +80，×1.6"
"加成卡","legendary","jinguiguan","金桂冠","","Golden Shroom","8","1","得分 ×3"
"加成卡","legendary","jiuzhuan","九转金丹","","angel_toast_kiinmn","9","1","得分 ×3.2"
"加成卡","legendary","lianrongshuang","双黄莲蓉","","Sunflower","7","2","得分 +150"
"加成卡","legendary","qinghui","清辉","","AmethystCrystalCat","7","1","得分 ×2.5"
"加成卡","legendary","yuefu2","月斧","","Roaning Knight","9","2","改 1 颗骰子为 4 点"
"加成卡","legendary","yuegui","蟾宫神枝","","HTF_greenberg","12","1","可多投掷 2 次"
"加成卡","legendary","yuehuabi","月华笔","","nanami_glow","14","1","改 1 颗骰子为任意点数；本关没用掉就归还(未使用则归还)"
"加成卡","legendary","yuehun","月魂","","aristocats_marie_glow","9","1","得分 +60，×2"
"加成卡","legendary","yueshen","月神面纱","","pinkcrystal","8","2","得分 ×2.4"
"加成卡","legendary","yueshenbiyou","月神庇佑","","IceWitch_MushDeer","8","1","最低按""三红""结算"
"加成卡","legendary","yuetuchu","玉兔杵","","luoxiaohei_rabbit","10","2","可多投掷 1 次"
"加成卡","legendary","yusheng","玉绳","","HTF_whitepinky","9","3","得分 ×2.6"
"加成卡","legendary","yuxi","玉玺","","tiPrince","10","1","改 1 颗骰子为任意点数"
"加成卡","rare","changuang","蟾光","","glow_hammie2","5","3","得分 ×1.8"
"加成卡","rare","chaoxin","潮信符","","AquaFox","6","1","骰子点数和 ×3 计入得分"
"加成卡","rare","guihuafu","桂花符","","Lahm_yellow","4","2","自己的 2 视为 4 点"
"加成卡","rare","guihuatangjiang","桂花糖浆","","cupcakesprinkle","5","2","得分 +130"
"加成卡","rare","guipo","桂魄","","babyYoda_flower","5","2","得分 ×2.25"
"加成卡","rare","guiyin","桂荫庇佑","","Lahm_blue","5","2","最低按""二举""结算"
"加成卡","rare","hebi","合璧符","","skeyster","7","2","对堂及以上：得分 ×3"
"加成卡","rare","liuli","琉璃酥","","Rainbow Jawbreaker","5","2","得分 +60，×1.4"
"加成卡","rare","niyuefu","逆月符","","Dark Default","7","2","该 Tee 本关得分 = 160 − 本次掷骰分"
"加成卡","rare","songren","松仁","","MelonFox","5","3","得分 +90"
"加成卡","rare","tueye","余兴","","rabbit_Judy","6","1","可多投掷 1 次"
"加成卡","rare","wangyuefu","望月符","","IceWitch_Deer","5","2","自己的 6 视为 4 点"
"加成卡","rare","xianrou","月华酥","","Red Tomato","4","2","得分 +100"
"加成卡","rare","xingguangzhu","星光烛","","Yellow ray","4","2","得分 +70"
"加成卡","rare","yaochu","玉兔药杵","","sleppbunny","7","1","改 1 颗骰子为 4 点；本关没用掉就归还(未使用则归还)"
"加成卡","rare","yishan","移山","","Beast_Winter","6","2","自己每有 1 颗 6 点：得分 +130；每有 1 颗 2 点：得分 −55"
"加成卡","rare","yuehua","月华","","CrystalCat","5","2","得分 ×2"
"加成卡","rare","yueshika","月食卡","","darklightevilwolfe","6","1","身上 Tee 本关不受点数作废影响"
"加成卡","rare","yuetuchu2","银针","","Silver","5","1","改 1 颗骰子为 4 点"
"加成卡","rare","yulu","玉露","","ender_pearl","4","2","得分 ×1.75"
"加成卡","rare","yunniang","玉盘酥","","Red Coke","5","2","得分 +120"
"加成卡","rare","yuzhi","玉脂","","emerald","6","2","得分 +60，×1.5"
"加成卡","common","ciba","糍粑","","00_sweetfox","3","3","得分 +25"
"加成卡","common","dangui","丹桂","","Redboppenom","3","1","得分 ×1.5"
"加成卡","common","doushaxian","豆沙馅","","HTF_reddy","2","1","得分 +45"
"加成卡","common","duzhuo","独酌","","coffee_cup","3","2","自己每有 1 颗 6 点：得分 +70；每有 1 颗 3 点：得分 −30"
"加成卡","common","guihuami","桂花蜜","","cat with flowers","2","1","得分 ×1.3"
"加成卡","common","guxing","孤星","","Blue ray","3","2","自己每有 1 颗 1 点：得分 +80；每有 1 颗 4 点：得分 −35"
"加成卡","common","jinsuo","金锁","","Locked","3","1","改 1 颗骰子为 6 点"
"加成卡","common","lianrongxian","莲蓉馅","","mermydon_beanie","3","1","得分 +55"
"加成卡","common","lizi","栗子","","Acorn","3","2","得分 +50"
"加成卡","common","manyuezhufu","满月祝福","","twinbop_glow","3","2","最低按""一秀""结算"
"加成卡","common","shibei","拾贝","","Seal","3","2","自己每有 1 颗 5 点：得分 +65；每有 1 颗 2 点：得分 −25"
"加成卡","common","shouzhuo","守拙","","Graylynx","3","2","自己每有 1 颗 4 点：得分 +60；每有 1 颗 2 点：得分 −25"
"加成卡","common","shuoyuefu","朔月符","","IceWitch_Reindeer","3","2","自己的 5 视为 4 点"
"加成卡","common","suyuepan","素月盘","","IceWitch_Beach","4","1","改 1 颗骰子为 2 点；本关没用掉就归还(未使用则归还)"
"加成卡","common","wurenxian","五仁馅","","Blueberry_Cat","2","1","得分 +40"
"加成卡","common","yingui","银桂","","default_flower","3","2","得分 ×1.4"
"加成卡","common","yuefu","玉兔护符","","Cute_Blue_Bunny","2","1","得分 +30"
"加成卡","common","yuexiangfu","月相符","","IceWitch_MushCat","3","2","自己的 3 视为 4 点"
"加成卡","common","yueyachi","月牙尺","","cool_glowfox","3","2","改 1 颗骰子点数 +1"
"加成卡","common","zaoni","枣泥","","sweet","3","2","得分 +35"
